user_id,event_type,product_id,amount,date,time
U0211,wishlist_add,P015,1728.27,2023-06-03,12:38:00
U0208,login,P018,2185.84,2023-06-04,03:13:00
U0327,checkout,P006,2875.06,2023-06-06,08:16:00
U0063,wishlist_add,P010,986.77,2023-06-06,08:09:00
U0131,search,P026,2528.03,2023-06-02,00:29:00
U0032,profile_update,P008,597.66,2023-06-02,12:51:00
U0033,page_view,P004,2685.69,2023-06-04,20:55:00
U0317,profile_update,P024,1157.58,2023-06-04,15:52:00
U0007,wishlist_add,P014,695.42,2023-06-03,18:11:00
U0070,wishlist_add,P020,2910.47,2023-06-05,12:52:00
U0048,search,P024,2027.93,2023-06-02,16:28:00
U0170,wishlist_add,P015,2483.79,2023-06-01,17:47:00
U0269,login,P004,763.39,2023-06-05,05:24:00
U0251,page_view,P011,562.53,2023-06-06,14:23:00
U0312,page_view,P020,1491.28,2023-06-04,20:16:00
U0285,wishlist_add,P030,2906.11,2023-06-01,09:14:00
U0180,add_to_cart,P005,528.55,2023-06-04,06:32:00
U0120,page_view,P001,2426.87,2023-06-01,19:22:00
U0052,wishlist_add,P013,856.11,2023-06-05,16:32:00
U0190,checkout,P024,939.67,2023-06-03,00:09:00
U0317,add_to_cart,P006,933.2,2023-06-03,18:59:00
U0327,profile_update,P001,2809.18,2023-06-05,13:03:00
U0225,login,P011,991.76,2023-06-02,17:39:00
U0017,logout,P014,1474.75,2023-06-06,09:57:00
U0232,checkout,P025,1708.83,2023-06-01,10:04:00
U0271,page_view,P030,2856.44,2023-06-05,18:46:00
U0188,search,P011,2492.85,2023-06-05,13:08:00
U0013,profile_update,P024,2441.69,2023-06-06,16:24:00
U0015,login,P017,1211.64,2023-06-06,17:49:00
U0186,page_view,P012,1649.38,2023-06-05,14:03:00
U0313,add_to_cart,P001,921.94,2023-06-04,10:50:00
U0095,login,P019,575.4,2023-06-02,01:05:00
U0332,search,P019,747.18,2023-06-04,05:40:00
U0309,add_to_cart,P006,769.71,2023-06-01,23:07:00
U0221,profile_update,P021,2630.74,2023-06-04,18:38:00
U0110,login,P014,218.24,2023-06-06,00:38:00
U0186,login,P001,2792.22,2023-06-02,13:48:00
U0328,add_to_cart,P013,2858.78,2023-06-02,04:16:00
U0291,login,P005,1524.6,2023-06-06,13:37:00
U0240,search,P009,319.55,2023-06-02,07:19:00
U0328,page_view,P016,2961.58,2023-06-06,04:31:00
U0328,login,P025,1736.1,2023-06-02,08:36:00
U0050,wishlist_add,P015,2746.07,2023-06-05,00:31:00
U0091,wishlist_add,P019,2465.97,2023-06-06,05:08:00
U0079,search,P012,2706.02,2023-06-02,03:02:00
U0264,profile_update,P025,2531.88,2023-06-05,06:13:00
U0304,page_view,P012,1258.65,2023-06-03,22:03:00
U0354,checkout,P024,2226.0,2023-06-02,00:34:00
U0385,profile_update,P024,1207.48,2023-06-03,08:32:00
U0158,wishlist_add,P012,2188.04,2023-06-06,19:14:00
U0143,login,P024,2149.66,2023-06-04,13:00:00
U0282,wishlist_add,P023,192.97,2023-06-04,07:12:00
U0294,search,P015,2990.99,2023-06-06,12:40:00
U0087,login,P018,852.97,2023-06-06,18:18:00
U0244,checkout,P029,705.22,2023-06-04,07:07:00
U0335,add_to_cart,P017,1770.04,2023-06-04,16:48:00
U0274,profile_update,P029,1522.36,2023-06-01,11:37:00
U0207,search,P030,1453.52,2023-06-06,15:26:00
U0084,add_to_cart,P028,792.66,2023-06-02,17:59:00
U0094,wishlist_add,P010,1692.82,2023-06-05,22:52:00
U0109,search,P025,2267.92,2023-06-05,00:09:00
U0059,search,P017,1858.29,2023-06-04,19:20:00
U0208,wishlist_add,P015,661.75,2023-06-06,04:14:00
U0290,logout,P016,1383.57,2023-06-01,23:53:00
U0208,add_to_cart,P017,562.54,2023-06-04,16:19:00
U0307,page_view,P002,801.42,2023-06-03,13:54:00
U0235,add_to_cart,P008,1759.89,2023-06-03,03:39:00
U0318,logout,P001,2942.2,2023-06-03,10:23:00
U0019,login,P023,1542.82,2023-06-03,08:35:00
U0002,page_view,P010,859.28,2023-06-01,17:43:00
U0324,page_view,P011,672.47,2023-06-02,04:12:00
U0032,page_view,P010,1143.78,2023-06-06,15:36:00
U0239,profile_update,P027,1308.08,2023-06-05,00:41:00
U0078,search,P018,815.79,2023-06-05,20:13:00
