date,users_active,total_sales,new_customers,report_date,report_time,percent_customer_change_per_day(%),sales_growth_rate(%),avg_sales_per_user($)
2023-06-01,179,81287.31,9,2023-06-01,16:00:00,0.0,0.0,454.12
2023-06-02,67,74771.99,5,2023-06-02,16:00:00,-62.57,-8.02,1116.0
2023-06-03,369,84809.74,11,2023-06-03,16:00:00,450.75,13.42,229.84
2023-06-04,94,61212.3,3,2023-06-04,16:00:00,-74.53,-27.82,651.19
2023-06-05,402,80911.49,10,2023-06-05,16:00:00,327.66,32.18,201.27
2023-06-06,479,43124.77,10,2023-06-06,16:00:00,19.15,-46.7,90.03
2023-06-07,218,21758.84,5,2023-06-07,16:00:00,-54.49,-49.54,99.81
2023-06-08,265,70662.79,6,2023-06-08,16:00:00,21.56,224.75,266.65
2023-06-09,118,61153.83,5,2023-06-09,16:00:00,-55.47,-13.46,518.25
2023-06-10,170,80175.22,11,2023-06-10,16:00:00,44.07,31.1,471.62
2023-06-11,327,76432.82,5,2023-06-11,16:00:00,92.35,-4.67,233.74
2023-06-12,219,55803.75,3,2023-06-12,16:00:00,-33.03,-26.99,254.81
2023-06-13,256,89165.0,7,2023-06-13,16:00:00,16.89,59.78,348.3
2023-06-14,162,35310.77,12,2023-06-14,16:00:00,-36.72,-60.4,217.97
2023-06-15,205,80030.41,8,2023-06-15,16:00:00,26.54,126.65,390.39
2023-06-16,418,37341.22,13,2023-06-16,16:00:00,103.9,-53.34,89.33
2023-06-17,134,73719.01,3,2023-06-17,16:00:00,-67.94,97.42,550.14
2023-06-18,469,88259.76,13,2023-06-18,16:00:00,250.0,19.72,188.19
2023-06-19,405,83266.28,8,2023-06-19,16:00:00,-13.65,-5.66,205.6
2023-06-20,197,61980.23,7,2023-06-20,16:00:00,-51.36,-25.56,314.62
2023-06-21,250,41100.58,2,2023-06-21,16:00:00,26.9,-33.69,164.4
2023-06-22,416,29874.64,11,2023-06-22,16:00:00,66.4,-27.31,71.81
2023-06-23,430,53883.13,9,2023-06-23,16:00:00,3.37,80.36,125.31
2023-06-24,483,75958.39,11,2023-06-24,16:00:00,12.33,40.97,157.26
2023-06-25,400,71666.22,1,2023-06-25,16:00:00,-17.18,-5.65,179.17
2023-06-26,69,39068.22,12,2023-06-26,16:00:00,-82.75,-45.49,566.21
2023-06-27,76,35872.54,4,2023-06-27,16:00:00,10.14,-8.18,472.01
2023-06-28,270,31646.37,9,2023-06-28,16:00:00,255.26,-11.78,117.21
2023-06-29,228,46509.93,1,2023-06-29,16:00:00,-15.56,46.97,203.99
2023-06-30,497,51181.34,7,2023-06-30,16:00:00,117.98,10.04,102.98
2023-07-01,470,25400.22,5,2023-07-01,16:00:00,-5.43,-50.37,54.04
2023-07-02,458,29939.32,9,2023-07-02,16:00:00,-2.55,17.87,65.37
2023-07-03,240,72595.61,8,2023-07-03,16:00:00,-47.6,142.48,302.48
2023-07-04,255,84322.06,3,2023-07-04,16:00:00,6.25,16.15,330.67
2023-07-05,288,20825.27,11,2023-07-05,16:00:00,12.94,-75.3,72.31
2023-07-06,130,43875.28,8,2023-07-06,16:00:00,-54.86,110.68,337.5
2023-07-07,187,64121.7,12,2023-07-07,16:00:00,43.85,46.15,342.9
2023-07-08,287,79016.27,1,2023-07-08,16:00:00,53.48,23.23,275.32
2023-07-09,327,89585.41,6,2023-07-09,16:00:00,13.94,13.38,273.96
2023-07-10,251,70860.23,13,2023-07-10,16:00:00,-23.24,-20.9,282.31
2023-07-11,333,53496.91,12,2023-07-11,16:00:00,32.67,-24.5,160.65
2023-07-12,478,70188.93,7,2023-07-12,16:00:00,43.54,31.2,146.84
2023-07-13,163,41334.21,13,2023-07-13,16:00:00,-65.9,-41.11,253.58
2023-07-14,284,60764.59,10,2023-07-14,16:00:00,74.23,47.01,213.96
2023-07-15,353,50805.07,4,2023-07-15,16:00:00,24.3,-16.39,143.92
2023-07-16,310,87855.04,10,2023-07-16,16:00:00,-12.18,72.93,283.4
2023-07-17,135,71544.65,7,2023-07-17,16:00:00,-56.45,-18.57,529.96
2023-07-18,184,25306.53,7,2023-07-18,16:00:00,36.3,-64.63,137.54
2023-07-19,201,87800.8,5,2023-07-19,16:00:00,9.24,246.95,436.82
2023-07-20,279,50891.26,8,2023-07-20,16:00:00,38.81,-42.04,182.41
2023-07-21,51,56262.4,10,2023-07-21,16:00:00,-81.72,10.55,1103.18
2023-07-22,206,89094.16,7,2023-07-22,16:00:00,303.92,58.35,432.5
2023-07-23,253,79589.81,14,2023-07-23,16:00:00,22.82,-10.67,314.58
2023-07-24,128,51213.4,13,2023-07-24,16:00:00,-49.41,-35.65,400.1
2023-07-25,98,20780.11,6,2023-07-25,16:00:00,-23.44,-59.42,212.04
2023-07-26,101,58400.39,12,2023-07-26,16:00:00,3.06,181.04,578.22
2023-07-27,424,59888.47,11,2023-07-27,16:00:00,319.8,2.55,141.25
2023-07-28,479,24874.18,11,2023-07-28,16:00:00,12.97,-58.47,51.93
2023-07-29,496,72317.91,10,2023-07-29,16:00:00,3.55,190.73,145.8
2023-07-30,170,25357.15,8,2023-07-30,16:00:00,-65.73,-64.94,149.16
2023-07-31,296,58475.42,4,2023-07-31,16:00:00,74.12,130.61,197.55
2023-08-01,356,21794.96,9,2023-08-01,16:00:00,20.27,-62.73,61.22
2023-08-02,390,61505.6,1,2023-08-02,16:00:00,9.55,182.2,157.71
2023-08-03,252,55084.49,9,2023-08-03,16:00:00,-35.38,-10.44,218.59
2023-08-04,183,40284.44,13,2023-08-04,16:00:00,-27.38,-26.87,220.13
2023-08-05,245,39210.05,11,2023-08-05,16:00:00,33.88,-2.67,160.04
