week_start,week_end,avg_users,sales_growth_rate
05/22/2023,05/28/2023,328,-0.003
05/29/2023,06/04/2023,280,0.088
06/05/2023,06/11/2023,130,0.073
06/12/2023,06/18/2023,291,0.077
06/19/2023,06/25/2023,200,-0.003
06/26/2023,07/02/2023,135,0.08
07/03/2023,07/09/2023,171,-0.015
07/10/2023,07/16/2023,125,0.058
07/17/2023,07/23/2023,305,0.002
07/24/2023,07/30/2023,346,0.095
07/31/2023,08/06/2023,313,-0.03
08/07/2023,08/13/2023,375,0.05
08/14/2023,08/20/2023,307,0.027
08/21/2023,08/27/2023,306,0.02
08/28/2023,09/03/2023,309,0.099
09/04/2023,09/10/2023,393,0.087
09/11/2023,09/17/2023,126,0.062
09/18/2023,09/24/2023,150,0.007
09/25/2023,10/01/2023,271,0.077
10/02/2023,10/08/2023,298,0.082
