date,users_active,total_sales,new_customers,report_generated,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
2023-06-01,179,81287.31,9,2023-06-01 16:00,North,519.37,,North,987.06,491,North,880.23,,,244.39,4432,,780.77,2960,East,666.86,926,West,164.12,,North,,925,East,,4582,,508.76,1922,North,418.29,749,East,,4662,West,,756,South,81.97,,East,,
2023-06-02,67,74771.99,5,2023-06-02 16:00,East,,75,South,916.36,4729,West,464.0,,East,698.29,2940,East,,,West,563.7,,West,999.98,,,,3872,South,377.2,,North,630.08,,South,460.89,3285,East,368.55,,West,457.14,,West,482.41,1327,East,,4506
2023-06-03,369,84809.74,11,2023-06-03 16:00,,512.79,2643,East,420.43,2761,South,,2205,South,849.12,273,North,,3132,South,,2736,South,746.48,2525,North,,,North,804.36,4676,North,278.97,3097,West,608.21,142,East,55.81,2839,South,161.89,3339,South,18.71,3484,East,753.98,463
2023-06-04,94,61212.3,3,2023-06-04 16:00,South,,1264,North,16.13,,North,943.72,1312,North,,1351,East,533.27,226,North,,3260,,857.48,4779,West,,,,302.02,100,East,54.08,3245,West,762.84,,,,2509,North,661.14,,,,4517,North,,2294
2023-06-05,402,80911.49,10,2023-06-05 16:00,North,965.78,1108,South,147.12,1516,South,,678,,908.05,4646,West,,970,South,,2516,South,,,,,2780,West,581.45,321,East,4.2,1427,North,204.95,1717,East,979.46,707,West,222.5,394,South,498.87,3364,,678.05,
2023-06-06,479,43124.77,10,2023-06-06 16:00,East,,2991,West,74.27,1175,South,,3262,,10.44,,North,,2723,South,526.47,,East,847.4,,,855.58,,North,234.16,255,West,816.96,,,,,East,,,South,236.61,2345,East,95.44,2352,East,265.16,1517
2023-06-07,218,21758.84,5,2023-06-07 16:00,South,,4629,North,522.34,2670,West,,,South,908.67,352,North,,2309,East,219.07,296,West,317.79,162,South,462.49,157,East,367.13,3546,West,244.03,3543,,731.93,,North,889.94,216,East,,4763,West,87.22,4394,East,,
2023-06-08,265,70662.79,6,2023-06-08 16:00,North,95.53,2010,East,942.46,,West,448.24,2139,West,,2998,East,691.12,,North,,2909,West,610.63,,South,,3979,,21.12,3528,North,86.21,3947,South,335.62,4887,West,,2704,South,115.23,,,940.92,4074,North,,1115
2023-06-09,118,61153.83,5,2023-06-09 16:00,North,566.59,,North,41.29,4326,South,677.86,3063,South,386.07,,,567.85,2083,South,861.06,4714,North,210.29,1990,East,228.66,1598,North,302.76,1678,West,285.29,,North,433.46,3269,North,177.76,3528,South,,1031,West,589.2,3906,South,899.41,
2023-06-10,170,80175.22,11,2023-06-10 16:00,West,,4369,East,930.09,4585,,566.63,,West,,,East,,2650,,,2287,,354.57,,South,427.59,559,East,,,East,687.24,,North,595.27,2096,North,742.93,2767,South,484.1,2547,,,2416,North,459.44,3838
2023-06-11,327,76432.82,5,2023-06-11 16:00,North,689.45,2439,North,656.33,,East,,2352,West,731.47,1646,West,754.78,1300,East,67.45,2090,East,452.3,20,South,755.54,184,South,608.06,321,,,,North,825.33,4243,South,914.51,4235,West,61.24,1687,North,,3652,South,,
2023-06-12,219,55803.75,3,2023-06-12 16:00,North,,851,South,462.78,4120,South,843.34,903,South,,,,,937,East,834.46,1131,West,10.13,3731,West,,,South,,3388,South,927.19,,,942.54,3063,East,34.42,3831,East,78.56,,East,988.73,3549,North,52.9,3798
2023-06-13,256,89165.0,7,2023-06-13 16:00,North,407.49,4527,East,652.22,4903,East,458.34,3532,West,,4411,West,,2392,East,,3027,North,966.41,1871,East,,4223,East,52.06,,,707.13,4787,,899.59,3954,South,,42,South,,4206,South,275.67,3130,North,,576
2023-06-14,162,35310.77,12,2023-06-14 16:00,West,,2487,North,139.67,1701,West,,1865,South,,3818,,598.98,821,,,,,105.27,3363,,245.65,1565,West,,884,,137.98,4437,,,4943,South,,2504,South,,829,East,818.14,1463,South,884.31,
2023-06-15,205,80030.41,8,2023-06-15 16:00,,517.89,1723,North,28.74,861,East,490.98,2779,West,488.4,4532,South,345.55,917,West,,2701,East,80.55,3089,West,,4119,West,53.81,406,East,246.3,3320,South,839.78,2980,South,943.47,652,South,693.02,2462,West,870.15,4227,,535.19,
2023-06-16,418,37341.22,13,2023-06-16 16:00,East,534.94,127,North,,,West,764.91,3003,North,966.28,,South,,1737,,711.83,3956,East,456.12,2350,South,,4005,North,,2166,North,556.87,,,,890,South,,,,,716,,54.8,1435,West,496.99,69
2023-06-17,134,73719.01,3,2023-06-17 16:00,South,542.06,2610,North,,596,West,815.71,,,358.34,56,North,537.63,591,North,159.92,1241,West,489.71,2374,North,423.06,,East,293.94,3506,East,,4501,North,946.7,926,East,104.68,294,,390.24,3286,South,526.37,3724,North,299.41,
2023-06-18,469,88259.76,13,2023-06-18 16:00,North,782.08,4338,North,,,North,523.49,,North,247.85,1148,,149.44,3419,South,745.09,707,North,457.3,,East,984.99,3886,,928.73,,South,903.56,1977,,473.08,1629,South,,4183,,,1220,West,698.86,1329,North,754.29,2635
2023-06-19,405,83266.28,8,2023-06-19 16:00,South,802.29,3965,East,688.51,2212,South,466.32,,West,,,South,759.99,2514,East,,761,North,,,South,175.49,,North,,1161,West,,334,South,,,North,445.07,2036,East,463.55,3105,West,257.07,1921,North,922.23,228
