date,users_active,total_sales,new_customers,report_generated
2023-06-01,179,81287.31,9,2023-06-01 16:00
2023-06-02,67,74771.99,5,2023-06-02 16:00
2023-06-03,369,84809.74,11,2023-06-03 16:00
2023-06-04,94,61212.3,3,2023-06-04 16:00
2023-06-05,402,80911.49,10,2023-06-05 16:00
2023-06-06,479,43124.77,10,2023-06-06 16:00
2023-06-07,218,21758.84,5,2023-06-07 16:00
2023-06-08,265,70662.79,6,2023-06-08 16:00
2023-06-09,118,61153.83,5,2023-06-09 16:00
2023-06-10,170,80175.22,11,2023-06-10 16:00
2023-06-11,327,76432.82,5,2023-06-11 16:00
2023-06-12,219,55803.75,3,2023-06-12 16:00
2023-06-13,256,89165.0,7,2023-06-13 16:00
2023-06-14,162,35310.77,12,2023-06-14 16:00
2023-06-15,205,80030.41,8,2023-06-15 16:00
2023-06-16,418,37341.22,13,2023-06-16 16:00
2023-06-17,134,73719.01,3,2023-06-17 16:00
2023-06-18,469,88259.76,13,2023-06-18 16:00
2023-06-19,405,83266.28,8,2023-06-19 16:00
2023-06-20,197,61980.23,7,2023-06-20 16:00
2023-06-21,250,41100.58,2,2023-06-21 16:00
2023-06-22,416,29874.64,11,2023-06-22 16:00
2023-06-23,430,53883.13,9,2023-06-23 16:00
2023-06-24,483,75958.39,11,2023-06-24 16:00
2023-06-25,400,71666.22,1,2023-06-25 16:00
2023-06-26,69,39068.22,12,2023-06-26 16:00
2023-06-27,76,35872.54,4,2023-06-27 16:00
2023-06-28,270,31646.37,9,2023-06-28 16:00
2023-06-29,228,46509.93,1,2023-06-29 16:00
2023-06-30,497,51181.34,7,2023-06-30 16:00
2023-07-01,470,25400.22,5,2023-07-01 16:00
2023-07-02,458,29939.32,9,2023-07-02 16:00
2023-07-03,240,72595.61,8,2023-07-03 16:00
2023-07-04,255,84322.06,3,2023-07-04 16:00
2023-07-05,288,20825.27,11,2023-07-05 16:00
2023-07-06,130,43875.28,8,2023-07-06 16:00
2023-07-07,187,64121.7,12,2023-07-07 16:00
2023-07-08,287,79016.27,1,2023-07-08 16:00
2023-07-09,327,89585.41,6,2023-07-09 16:00
2023-07-10,251,70860.23,13,2023-07-10 16:00
2023-07-11,333,53496.91,12,2023-07-11 16:00
2023-07-12,478,70188.93,7,2023-07-12 16:00
2023-07-13,163,41334.21,13,2023-07-13 16:00
2023-07-14,284,60764.59,10,2023-07-14 16:00
2023-07-15,353,50805.07,4,2023-07-15 16:00
2023-07-16,310,87855.04,10,2023-07-16 16:00
2023-07-17,135,71544.65,7,2023-07-17 16:00
2023-07-18,184,25306.53,7,2023-07-18 16:00
2023-07-19,201,87800.8,5,2023-07-19 16:00
2023-07-20,279,50891.26,8,2023-07-20 16:00
2023-07-21,51,56262.4,10,2023-07-21 16:00
2023-07-22,206,89094.16,7,2023-07-22 16:00
2023-07-23,253,79589.81,14,2023-07-23 16:00
2023-07-24,128,51213.4,13,2023-07-24 16:00
2023-07-25,98,20780.11,6,2023-07-25 16:00
2023-07-26,101,58400.39,12,2023-07-26 16:00
2023-07-27,424,59888.47,11,2023-07-27 16:00
2023-07-28,479,24874.18,11,2023-07-28 16:00
2023-07-29,496,72317.91,10,2023-07-29 16:00
2023-07-30,170,25357.15,8,2023-07-30 16:00
2023-07-31,296,58475.42,4,2023-07-31 16:00
2023-08-01,356,21794.96,9,2023-08-01 16:00
2023-08-02,390,61505.6,1,2023-08-02 16:00
2023-08-03,252,55084.49,9,2023-08-03 16:00
2023-08-04,183,40284.44,13,2023-08-04 16:00
2023-08-05,245,39210.05,11,2023-08-05 16:00
2023-08-06,357,35373.18,4,2023-08-06 16:00
2023-08-07,259,71681.48,11,2023-08-07 16:00
2023-08-08,73,23864.02,5,2023-08-08 16:00
2023-08-09,324,50388.98,5,2023-08-09 16:00
2023-08-10,426,54543.21,5,2023-08-10 16:00
2023-08-11,243,76638.5,2,2023-08-11 16:00
2023-08-12,202,85415.0,14,2023-08-12 16:00
2023-08-13,436,72075.8,8,2023-08-13 16:00
2023-08-14,365,76699.61,2,2023-08-14 16:00
2023-08-15,432,21972.66,10,2023-08-15 16:00
2023-08-16,386,72777.46,7,2023-08-16 16:00
2023-08-17,146,49619.28,7,2023-08-17 16:00
2023-08-18,104,26609.8,13,2023-08-18 16:00
2023-08-19,485,47208.16,4,2023-08-19 16:00
2023-08-20,153,38011.53,3,2023-08-20 16:00
2023-08-21,224,36478.5,10,2023-08-21 16:00
2023-08-22,88,39029.3,1,2023-08-22 16:00
2023-08-23,434,79330.42,1,2023-08-23 16:00
2023-08-24,294,67872.13,5,2023-08-24 16:00
2023-08-25,391,74551.86,12,2023-08-25 16:00
2023-08-26,473,59611.99,7,2023-08-26 16:00
2023-08-27,445,43994.45,8,2023-08-27 16:00
2023-08-28,305,43937.07,13,2023-08-28 16:00
2023-08-29,99,75467.18,11,2023-08-29 16:00
2023-08-30,114,69339.89,3,2023-08-30 16:00
2023-08-31,248,59735.48,1,2023-08-31 16:00
2023-09-01,223,33835.78,14,2023-09-01 16:00
2023-09-02,154,67494.54,6,2023-09-02 16:00
2023-09-03,358,32363.69,12,2023-09-03 16:00
2023-09-04,308,85615.4,3,2023-09-04 16:00
2023-09-05,92,70036.99,5,2023-09-05 16:00
2023-09-06,231,49325.31,12,2023-09-06 16:00
2023-09-07,366,78588.39,6,2023-09-07 16:00
2023-09-08,80,85492.22,6,2023-09-08 16:00
