user_id,event_type,event_time,product_id,amount,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
U0099,checkout,2023-06-03 04:13,P010,,C,13.05,,B,0.81,155,B,,,,,,,35.34,629,,86.57,341,C,,473,B,,,A,,39,A,66.34,130,B,,,B,79.32,,B,39.66,138,C,,902,A,,
U0240,wishlist_add,2023-06-03 05:08,P020,2900.63,,,,C,,,C,30.72,440,B,58.21,165,C,98.23,249,C,,,B,,586,A,,875,C,25.86,509,A,48.62,,,28.49,693,,,714,,39.97,507,B,,632,,38.45,890
U0374,profile_update,2023-06-05 06:22,P028,,A,,,B,60.06,2,C,,302,,66.66,114,A,28.32,247,A,,,,51.54,190,,16.59,871,A,28.23,,B,82.94,,C,,,B,,,,,293,,,394,,,490
U0122,page_view,2023-06-06 03:45,P001,,C,,747,B,,758,A,78.44,849,,87.51,,A,33.97,217,C,86.57,623,C,46.57,,,36.31,,C,52.44,921,,83.77,789,,,936,,34.84,365,C,67.84,705,A,96.06,110,,,
U0211,wishlist_add,2023-06-03 12:38,P015,1728.27,A,40.19,515,A,,63,B,,851,C,12.15,,C,19.6,,A,77.96,536,,,,C,30.45,,C,,715,C,8.26,152,,86.18,173,,,,C,,876,,,,B,,
U0208,login,2023-06-04 03:13,P018,2185.84,C,,,C,84.13,397,A,31.7,38,C,82.58,,C,,528,A,,880,B,,,,57.62,,B,99.62,429,,40.63,121,,38.72,235,C,68.85,600,A,81.4,563,B,,248,C,,71
U0327,checkout,2023-06-06 08:16,P006,2875.06,A,36.69,989,A,38.06,314,C,,210,,68.78,,,34.54,18,A,,,C,84.19,,C,88.4,892,A,31.21,653,A,5.9,,A,,935,A,,890,,,985,C,2.94,660,A,85.93,495
U0249,logout,2023-06-01 13:12,P005,,B,16.1,637,B,,778,B,,996,B,,813,B,,,B,85.61,786,A,64.5,231,A,45.07,742,,74.73,213,B,41.4,824,B,83.67,539,B,92.12,,B,,,B,82.67,724,A,23.23,593
U0098,logout,2023-06-05 17:55,P025,,C,,,,88.93,,A,17.99,905,B,47.56,,A,80.08,400,B,40.53,284,A,72.47,,A,47.92,420,C,,153,B,12.97,912,A,,738,A,79.52,512,A,,962,,95.71,,A,24.34,44
U0056,profile_update,2023-06-05 03:26,P026,,A,,583,,,,C,,351,A,96.28,,C,,,,,,B,19.89,,C,87.27,544,A,71.91,560,,,922,A,70.88,608,,21.15,661,C,25.97,821,A,96.59,572,A,71.8,658
U0063,wishlist_add,2023-06-06 08:09,P010,986.77,B,13.05,482,B,,266,,,,B,68.07,699,A,39.81,227,A,,85,A,50.78,,,8.37,890,,78.57,91,A,93.29,172,C,,346,B,60.25,670,A,,234,,95.03,796,A,,205
U0131,search,2023-06-02 00:29,P026,2528.03,C,5.95,463,C,,836,A,80.88,925,A,67.34,724,B,21.82,899,,38.06,57,B,56.2,841,C,,,,41.85,349,C,21.95,,,88.34,,A,43.66,,C,,,B,,117,,30.91,
U0100,checkout,2023-06-02 09:02,P029,,B,,52,,69.59,309,B,4.65,129,C,10.0,884,C,42.8,44,A,27.52,659,A,96.57,,A,35.45,606,B,,,A,,943,,6.78,,B,,853,C,30.7,660,,26.8,716,,71.63,150
U0218,add_to_cart,2023-06-03 06:23,P012,,,,,C,60.59,778,B,90.72,,C,21.2,47,B,47.24,613,,,,,,370,A,17.25,305,A,93.92,368,,,566,A,0.7,811,C,,158,B,16.53,,,4.64,947,B,,743
U0144,add_to_cart,2023-06-05 22:38,P027,,A,,,C,7.79,,C,75.89,46,,,909,,,471,,41.9,,B,29.75,157,A,,646,,35.46,,C,37.83,15,C,22.99,,C,74.53,,A,15.7,,,14.31,,B,,178
U0116,profile_update,2023-06-04 23:33,P007,,B,61.92,772,A,,96,B,7.41,686,,98.84,,B,35.52,821,C,37.95,489,,71.74,,A,85.4,784,,22.51,,A,5.11,599,A,26.02,168,C,90.55,,A,74.78,60,A,,45,A,90.04,498
U0032,profile_update,2023-06-02 12:51,P008,597.66,,82.06,442,C,71.94,935,,83.3,,B,,,C,,926,B,48.73,50,A,57.14,,C,10.83,417,C,73.13,,C,,133,,6.29,89,C,39.42,,A,70.53,,B,,700,,97.41,
