user_id,event_type,event_time,product_id,amount
U0240,wishlist_add,2023-06-03 05:08,P020,2900.63
U0211,wishlist_add,2023-06-03 12:38,P015,1728.27
U0208,login,2023-06-04 03:13,P018,2185.84
U0327,checkout,2023-06-06 08:16,P006,2875.06
U0063,wishlist_add,2023-06-06 08:09,P010,986.77
U0131,search,2023-06-02 00:29,P026,2528.03
U0032,profile_update,2023-06-02 12:51,P008,597.66
U0033,page_view,2023-06-04 20:55,P004,2685.69
U0317,profile_update,2023-06-04 15:52,P024,1157.58
U0007,wishlist_add,2023-06-03 18:11,P014,695.42
U0070,wishlist_add,2023-06-05 12:52,P020,2910.47
U0048,search,2023-06-02 16:28,P024,2027.93
U0170,wishlist_add,2023-06-01 17:47,P015,2483.79
U0269,login,2023-06-05 05:24,P004,763.39
U0251,page_view,2023-06-06 14:23,P011,562.53
U0312,page_view,2023-06-04 20:16,P020,1491.28
U0285,wishlist_add,2023-06-01 09:14,P030,2906.11
U0180,add_to_cart,2023-06-04 06:32,P005,528.55
U0120,page_view,2023-06-01 19:22,P001,2426.87
U0052,wishlist_add,2023-06-05 16:32,P013,856.11
U0190,checkout,2023-06-03 00:09,P024,939.67
U0317,add_to_cart,2023-06-03 18:59,P006,933.2
U0327,profile_update,2023-06-05 13:03,P001,2809.18
U0225,login,2023-06-02 17:39,P011,991.76
U0017,logout,2023-06-06 09:57,P014,1474.75
U0232,checkout,2023-06-01 10:04,P025,1708.83
U0271,page_view,2023-06-05 18:46,P030,2856.44
U0188,search,2023-06-05 13:08,P011,2492.85
U0013,profile_update,2023-06-06 16:24,P024,2441.69
U0015,login,2023-06-06 17:49,P017,1211.64
U0186,page_view,2023-06-05 14:03,P012,1649.38
U0313,add_to_cart,2023-06-04 10:50,P001,921.94
U0095,login,2023-06-02 01:05,P019,575.4
U0332,search,2023-06-04 05:40,P019,747.18
U0309,add_to_cart,2023-06-01 23:07,P006,769.71
U0221,profile_update,2023-06-04 18:38,P021,2630.74
U0110,login,2023-06-06 00:38,P014,218.24
U0186,login,2023-06-02 13:48,P001,2792.22
U0328,add_to_cart,2023-06-02 04:16,P013,2858.78
U0291,login,2023-06-06 13:37,P005,1524.6
U0240,search,2023-06-02 07:19,P009,319.55
U0328,page_view,2023-06-06 04:31,P016,2961.58
U0328,login,2023-06-02 08:36,P025,1736.1
U0050,wishlist_add,2023-06-05 00:31,P015,2746.07
U0091,wishlist_add,2023-06-06 05:08,P019,2465.97
U0079,search,2023-06-02 03:02,P012,2706.02
U0264,profile_update,2023-06-05 06:13,P025,2531.88
U0304,page_view,2023-06-03 22:03,P012,1258.65
U0354,checkout,2023-06-02 00:34,P024,2226.0
U0385,profile_update,2023-06-03 08:32,P024,1207.48
U0158,wishlist_add,2023-06-06 19:14,P012,2188.04
U0143,login,2023-06-04 13:00,P024,2149.66
U0282,wishlist_add,2023-06-04 07:12,P023,192.97
U0294,search,2023-06-06 12:40,P015,2990.99
U0087,login,2023-06-06 18:18,P018,852.97
U0244,checkout,2023-06-04 07:07,P029,705.22
U0335,add_to_cart,2023-06-04 16:48,P017,1770.04
U0274,profile_update,2023-06-01 11:37,P029,1522.36
U0207,search,2023-06-06 15:26,P030,1453.52
U0084,add_to_cart,2023-06-02 17:59,P028,792.66
U0094,wishlist_add,2023-06-05 22:52,P010,1692.82
U0109,search,2023-06-05 00:09,P025,2267.92
U0059,search,2023-06-04 19:20,P017,1858.29
U0208,wishlist_add,2023-06-06 04:14,P015,661.75
U0290,logout,2023-06-01 23:53,P016,1383.57
U0208,add_to_cart,2023-06-04 16:19,P017,562.54
U0307,page_view,2023-06-03 13:54,P002,801.42
U0235,add_to_cart,2023-06-03 03:39,P008,1759.89
U0318,logout,2023-06-03 10:23,P001,2942.2
U0019,login,2023-06-03 08:35,P023,1542.82
U0002,page_view,2023-06-01 17:43,P010,859.28
U0324,page_view,2023-06-02 04:12,P011,672.47
U0032,page_view,2023-06-06 15:36,P010,1143.78
U0239,profile_update,2023-06-05 00:41,P027,1308.08
U0078,search,2023-06-05 20:13,P018,815.79
U0163,page_view,2023-06-06 12:58,P013,1477.68
U0134,profile_update,2023-06-03 07:13,P024,262.58
U0224,profile_update,2023-06-05 20:37,P012,571.85
U0192,add_to_cart,2023-06-04 16:11,P010,2433.51
U0255,search,2023-06-02 01:54,P018,1769.62
U0017,search,2023-06-04 21:00,P019,2333.77
U0097,page_view,2023-06-01 20:57,P024,2546.29
U0391,logout,2023-06-04 19:24,P014,2320.57
U0300,page_view,2023-06-01 19:08,P005,2162.53
U0173,wishlist_add,2023-06-02 20:59,P017,289.79
U0301,profile_update,2023-06-05 05:46,P010,609.84
U0058,page_view,2023-06-04 22:52,P013,502.91
U0038,page_view,2023-06-01 08:22,P020,899.79
U0316,search,2023-06-06 13:24,P020,1794.99
U0273,add_to_cart,2023-06-03 05:48,P028,639.27
U0217,search,2023-06-06 02:29,P017,1235.72
U0093,page_view,2023-06-02 07:29,P014,293.63
U0173,search,2023-06-01 23:33,P006,2885.37
U0038,wishlist_add,2023-06-03 04:44,P015,2630.61
U0388,page_view,2023-06-05 07:02,P024,1593.51
U0262,login,2023-06-02 17:54,P021,581.96
U0037,search,2023-06-04 21:20,P007,560.69
U0158,logout,2023-06-05 05:03,P015,574.2
U0392,logout,2023-06-02 15:49,P001,2253.07
U0017,add_to_cart,2023-06-05 10:50,P015,1364.06
U0377,login,2023-06-04 19:29,P009,1812.34
U0082,profile_update,2023-06-05 20:57,P016,1567.14
U0119,login,2023-06-01 21:21,P010,1172.38
U0250,checkout,2023-06-02 17:46,P001,2327.37
U0086,checkout,2023-06-05 23:13,P026,615.95
U0068,login,2023-06-06 16:23,P027,2416.71
U0011,add_to_cart,2023-06-05 22:42,P030,2176.33
U0081,login,2023-06-03 23:27,P027,1696.72
U0133,logout,2023-06-05 05:45,P028,1055.3
U0184,profile_update,2023-06-04 06:48,P017,1158.71
U0340,login,2023-06-04 05:22,P016,1524.34
U0353,page_view,2023-06-05 05:31,P008,1530.09
U0046,logout,2023-06-03 20:07,P013,1316.68
