user_id,event_type,event_time,product_id,amount,event_date,hour,day_of_week
U0099,checkout,2023-06-03 04:13:00,P010,306.2,2023-06-03,4,Saturday
U0240,wishlist_add,2023-06-03 05:08:00,P020,2900.63,2023-06-03,5,Saturday
U0374,profile_update,2023-06-05 06:22:00,P028,0.0,2023-06-05,6,Monday
U0122,page_view,2023-06-06 03:45:00,P001,0.0,2023-06-06,3,Tuesday
U0211,wishlist_add,2023-06-03 12:38:00,P015,1728.27,2023-06-03,12,Saturday
U0208,login,2023-06-04 03:13:00,P018,2185.84,2023-06-04,3,Sunday
U0327,checkout,2023-06-06 08:16:00,P006,2875.06,2023-06-06,8,Tuesday
U0249,logout,2023-06-01 13:12:00,P005,0.0,2023-06-01,13,Thursday
U0098,logout,2023-06-05 17:55:00,P025,0.0,2023-06-05,17,Monday
U0056,profile_update,2023-06-05 03:26:00,P026,0.0,2023-06-05,3,Monday
U0063,wishlist_add,2023-06-06 08:09:00,P010,986.77,2023-06-06,8,Tuesday
U0131,search,2023-06-02 00:29:00,P026,2528.03,2023-06-02,0,Friday
U0100,checkout,2023-06-02 09:02:00,P029,306.2,2023-06-02,9,Friday
U0218,add_to_cart,2023-06-03 06:23:00,P012,0.0,2023-06-03,6,Saturday
U0144,add_to_cart,2023-06-05 22:38:00,P027,0.0,2023-06-05,22,Monday
U0116,profile_update,2023-06-04 23:33:00,P007,0.0,2023-06-04,23,Sunday
U0032,profile_update,2023-06-02 12:51:00,P008,597.66,2023-06-02,12,Friday
U0341,page_view,2023-06-03 08:43:00,P025,0.0,2023-06-03,8,Saturday
U0033,page_view,2023-06-04 20:55:00,P004,2685.69,2023-06-04,20,Sunday
U0317,profile_update,2023-06-04 15:52:00,P024,1157.58,2023-06-04,15,Sunday
U0007,wishlist_add,2023-06-03 18:11:00,P014,695.42,2023-06-03,18,Saturday
U0070,wishlist_add,2023-06-05 12:52:00,P020,2910.47,2023-06-05,12,Monday
U0048,search,2023-06-02 16:28:00,P024,2027.93,2023-06-02,16,Friday
U0367,add_to_cart,2023-06-04 09:10:00,P003,0.0,2023-06-04,9,Sunday
U0170,wishlist_add,2023-06-01 17:47:00,P015,2483.79,2023-06-01,17,Thursday
U0262,wishlist_add,2023-06-05 14:57:00,P019,0.0,2023-06-05,14,Monday
U0269,login,2023-06-05 05:24:00,P004,763.39,2023-06-05,5,Monday
U0251,page_view,2023-06-06 14:23:00,P011,562.53,2023-06-06,14,Tuesday
U0377,search,2023-06-04 22:12:00,P014,0.0,2023-06-04,22,Sunday
U0145,profile_update,2023-06-02 02:18:00,P003,0.0,2023-06-02,2,Friday
U0312,page_view,2023-06-04 20:16:00,P020,1491.28,2023-06-04,20,Sunday
U0249,wishlist_add,2023-06-05 22:19:00,P003,0.0,2023-06-05,22,Monday
U0285,wishlist_add,2023-06-01 09:14:00,P030,2906.11,2023-06-01,9,Thursday
U0339,add_to_cart,2023-06-05 17:29:00,P017,0.0,2023-06-05,17,Monday
U0005,page_view,2023-06-04 22:06:00,P017,0.0,2023-06-04,22,Sunday
U0389,login,2023-06-02 19:23:00,P024,0.0,2023-06-02,19,Friday
U0180,add_to_cart,2023-06-04 06:32:00,P005,528.55,2023-06-04,6,Sunday
U0120,page_view,2023-06-01 19:22:00,P001,2426.87,2023-06-01,19,Thursday
U0052,wishlist_add,2023-06-05 16:32:00,P013,856.11,2023-06-05,16,Monday
U0192,page_view,2023-06-04 09:06:00,P019,0.0,2023-06-04,9,Sunday
U0190,checkout,2023-06-03 00:09:00,P024,939.67,2023-06-03,0,Saturday
U0317,add_to_cart,2023-06-03 18:59:00,P006,933.2,2023-06-03,18,Saturday
U0327,profile_update,2023-06-05 13:03:00,P001,2809.18,2023-06-05,13,Monday
U0325,wishlist_add,2023-06-02 10:06:00,P008,0.0,2023-06-02,10,Friday
U0343,page_view,2023-06-05 02:39:00,P022,0.0,2023-06-05,2,Monday
U0158,search,2023-06-02 22:33:00,P021,0.0,2023-06-02,22,Friday
U0225,login,2023-06-02 17:39:00,P011,991.76,2023-06-02,17,Friday
U0017,logout,2023-06-06 09:57:00,P014,1474.75,2023-06-06,9,Tuesday
U0232,checkout,2023-06-01 10:04:00,P025,1708.83,2023-06-01,10,Thursday
U0057,wishlist_add,2023-06-02 13:53:00,P021,0.0,2023-06-02,13,Friday
U0271,page_view,2023-06-05 18:46:00,P030,2856.44,2023-06-05,18,Monday
U0349,profile_update,2023-06-05 01:17:00,P004,0.0,2023-06-05,1,Monday
U0188,search,2023-06-05 13:08:00,P011,2492.85,2023-06-05,13,Monday
U0334,logout,2023-06-04 16:28:00,P002,0.0,2023-06-04,16,Sunday
U0297,checkout,2023-06-05 19:54:00,P023,306.2,2023-06-05,19,Monday
U0013,profile_update,2023-06-06 16:24:00,P024,2441.69,2023-06-06,16,Tuesday
U0331,page_view,2023-06-02 01:40:00,P012,0.0,2023-06-02,1,Friday
U0337,page_view,2023-06-05 15:46:00,P025,0.0,2023-06-05,15,Monday
U0015,login,2023-06-06 17:49:00,P017,1211.64,2023-06-06,17,Tuesday
U0383,search,2023-06-02 11:40:00,P006,0.0,2023-06-02,11,Friday
U0279,search,2023-06-06 18:02:00,P009,0.0,2023-06-06,18,Tuesday
U0206,login,2023-06-05 17:05:00,P026,0.0,2023-06-05,17,Monday
U0019,login,2023-06-05 04:22:00,P024,0.0,2023-06-05,4,Monday
U0312,logout,2023-06-03 13:22:00,P020,0.0,2023-06-03,13,Saturday
U0186,page_view,2023-06-05 14:03:00,P012,1649.38,2023-06-05,14,Monday
U0313,add_to_cart,2023-06-04 10:50:00,P001,921.94,2023-06-04,10,Sunday
U0252,page_view,2023-06-03 20:24:00,P019,0.0,2023-06-03,20,Saturday
U0337,logout,2023-06-03 22:44:00,P012,0.0,2023-06-03,22,Saturday
U0307,checkout,2023-06-04 03:49:00,P023,306.2,2023-06-04,3,Sunday
U0180,wishlist_add,2023-06-05 18:48:00,P006,0.0,2023-06-05,18,Monday
U0024,search,2023-06-03 02:08:00,P026,0.0,2023-06-03,2,Saturday
U0251,profile_update,2023-06-03 22:57:00,P024,0.0,2023-06-03,22,Saturday
U0234,login,2023-06-02 05:17:00,P017,0.0,2023-06-02,5,Friday
U0178,search,2023-06-04 13:58:00,P018,0.0,2023-06-04,13,Sunday
U0093,login,2023-06-05 14:12:00,P004,0.0,2023-06-05,14,Monday
U0095,login,2023-06-02 01:05:00,P019,575.4,2023-06-02,1,Friday
U0031,checkout,2023-06-01 12:59:00,P004,306.2,2023-06-01,12,Thursday
U0332,search,2023-06-04 05:40:00,P019,747.18,2023-06-04,5,Sunday
U0309,add_to_cart,2023-06-01 23:07:00,P006,769.71,2023-06-01,23,Thursday
U0221,profile_update,2023-06-04 18:38:00,P021,2630.74,2023-06-04,18,Sunday
U0110,login,2023-06-06 00:38:00,P014,218.24,2023-06-06,0,Tuesday
U0186,login,2023-06-02 13:48:00,P001,2792.22,2023-06-02,13,Friday
U0328,add_to_cart,2023-06-02 04:16:00,P013,2858.78,2023-06-02,4,Friday
U0024,logout,2023-06-06 05:13:00,P006,0.0,2023-06-06,5,Tuesday
U0170,profile_update,2023-06-04 07:40:00,P020,0.0,2023-06-04,7,Sunday
U0262,login,2023-06-04 23:49:00,P011,0.0,2023-06-04,23,Sunday
U0129,logout,2023-06-04 01:12:00,P015,0.0,2023-06-04,1,Sunday
U0291,login,2023-06-06 13:37:00,P005,1524.6,2023-06-06,13,Tuesday
U0390,checkout,2023-06-05 21:01:00,P030,306.2,2023-06-05,21,Monday
U0036,profile_update,2023-06-05 14:12:00,P002,0.0,2023-06-05,14,Monday
U0344,page_view,2023-06-04 19:04:00,P002,0.0,2023-06-04,19,Sunday
U0240,search,2023-06-02 07:19:00,P009,319.55,2023-06-02,7,Friday
U0328,page_view,2023-06-06 04:31:00,P016,2961.58,2023-06-06,4,Tuesday
U0328,login,2023-06-02 08:36:00,P025,1736.1,2023-06-02,8,Friday
U0050,wishlist_add,2023-06-05 00:31:00,P015,2746.07,2023-06-05,0,Monday
U0240,search,2023-06-03 02:46:00,P016,0.0,2023-06-03,2,Saturday
U0047,search,2023-06-06 09:35:00,P006,0.0,2023-06-06,9,Tuesday
U0134,wishlist_add,2023-06-03 07:45:00,P023,0.0,2023-06-03,7,Saturday
U0204,page_view,2023-06-05 16:25:00,P017,0.0,2023-06-05,16,Monday
U0139,page_view,2023-06-03 15:44:00,P024,0.0,2023-06-03,15,Saturday
U0042,login,2023-06-06 02:39:00,P012,0.0,2023-06-06,2,Tuesday
U0129,wishlist_add,2023-06-03 06:40:00,P020,0.0,2023-06-03,6,Saturday
U0050,login,2023-06-06 08:27:00,P007,0.0,2023-06-06,8,Tuesday
U0114,checkout,2023-06-01 13:44:00,P003,306.2,2023-06-01,13,Thursday
U0091,wishlist_add,2023-06-06 05:08:00,P019,2465.97,2023-06-06,5,Tuesday
U0120,search,2023-06-03 03:48:00,P028,0.0,2023-06-03,3,Saturday
U0079,search,2023-06-02 03:02:00,P012,2706.02,2023-06-02,3,Friday
U0264,profile_update,2023-06-05 06:13:00,P025,2531.88,2023-06-05,6,Monday
U0333,profile_update,2023-06-05 21:17:00,P005,0.0,2023-06-05,21,Monday
U0304,page_view,2023-06-03 22:03:00,P012,1258.65,2023-06-03,22,Saturday
U0012,profile_update,2023-06-05 12:24:00,P006,0.0,2023-06-05,12,Monday
U0014,login,2023-06-05 03:26:00,P014,0.0,2023-06-05,3,Monday
U0354,checkout,2023-06-02 00:34:00,P024,2226.0,2023-06-02,0,Friday
U0369,logout,2023-06-01 19:38:00,P025,0.0,2023-06-01,19,Thursday
U0168,logout,2023-06-02 03:27:00,P018,0.0,2023-06-02,3,Friday
U0173,add_to_cart,2023-06-05 13:09:00,P001,0.0,2023-06-05,13,Monday
U0385,profile_update,2023-06-03 08:32:00,P024,1207.48,2023-06-03,8,Saturday
U0158,wishlist_add,2023-06-06 19:14:00,P012,2188.04,2023-06-06,19,Tuesday
U0143,login,2023-06-04 13:00:00,P024,2149.66,2023-06-04,13,Sunday
U0282,wishlist_add,2023-06-04 07:12:00,P023,192.97,2023-06-04,7,Sunday
U0294,search,2023-06-06 12:40:00,P015,2990.99,2023-06-06,12,Tuesday
U0087,login,2023-06-06 18:18:00,P018,852.97,2023-06-06,18,Tuesday
U0269,wishlist_add,2023-06-02 21:08:00,P007,0.0,2023-06-02,21,Friday
U0252,add_to_cart,2023-06-04 15:37:00,P022,0.0,2023-06-04,15,Sunday
U0091,login,2023-06-03 22:12:00,P008,0.0,2023-06-03,22,Saturday
U0244,checkout,2023-06-04 07:07:00,P029,705.22,2023-06-04,7,Sunday
U0053,profile_update,2023-06-03 00:30:00,P016,0.0,2023-06-03,0,Saturday
U0154,search,2023-06-04 03:00:00,P002,0.0,2023-06-04,3,Sunday
U0298,logout,2023-06-03 21:11:00,P023,0.0,2023-06-03,21,Saturday
U0339,profile_update,2023-06-01 21:10:00,P023,0.0,2023-06-01,21,Thursday
U0335,add_to_cart,2023-06-04 16:48:00,P017,1770.04,2023-06-04,16,Sunday
U0274,profile_update,2023-06-01 11:37:00,P029,1522.36,2023-06-01,11,Thursday
U0105,login,2023-06-03 04:34:00,P017,0.0,2023-06-03,4,Saturday
U0207,search,2023-06-06 15:26:00,P030,1453.52,2023-06-06,15,Tuesday
U0151,checkout,2023-06-03 00:48:00,P007,306.2,2023-06-03,0,Saturday
U0051,logout,2023-06-06 01:14:00,P028,0.0,2023-06-06,1,Tuesday
U0331,add_to_cart,2023-06-02 14:27:00,P006,0.0,2023-06-02,14,Friday
U0084,add_to_cart,2023-06-02 17:59:00,P028,792.66,2023-06-02,17,Friday
U0094,wishlist_add,2023-06-05 22:52:00,P010,1692.82,2023-06-05,22,Monday
U0249,search,2023-06-05 21:29:00,P020,0.0,2023-06-05,21,Monday
U0109,search,2023-06-05 00:09:00,P025,2267.92,2023-06-05,0,Monday
U0059,search,2023-06-04 19:20:00,P017,1858.29,2023-06-04,19,Sunday
U0208,wishlist_add,2023-06-06 04:14:00,P015,661.75,2023-06-06,4,Tuesday
U0290,logout,2023-06-01 23:53:00,P016,1383.57,2023-06-01,23,Thursday
U0228,wishlist_add,2023-06-02 00:20:00,P003,0.0,2023-06-02,0,Friday
U0208,add_to_cart,2023-06-04 16:19:00,P017,562.54,2023-06-04,16,Sunday
U0213,wishlist_add,2023-06-03 21:10:00,P004,0.0,2023-06-03,21,Saturday
U0307,page_view,2023-06-03 13:54:00,P002,801.42,2023-06-03,13,Saturday
U0235,add_to_cart,2023-06-03 03:39:00,P008,1759.89,2023-06-03,3,Saturday
U0318,logout,2023-06-03 10:23:00,P001,2942.2,2023-06-03,10,Saturday
U0113,wishlist_add,2023-06-06 03:51:00,P010,0.0,2023-06-06,3,Tuesday
U0209,profile_update,2023-06-05 12:01:00,P028,0.0,2023-06-05,12,Monday
U0137,add_to_cart,2023-06-03 00:53:00,P002,0.0,2023-06-03,0,Saturday
U0205,login,2023-06-05 08:30:00,P005,0.0,2023-06-05,8,Monday
U0019,login,2023-06-03 08:35:00,P023,1542.82,2023-06-03,8,Saturday
U0117,add_to_cart,2023-06-05 20:00:00,P005,0.0,2023-06-05,20,Monday
U0163,profile_update,2023-06-03 17:32:00,P016,0.0,2023-06-03,17,Saturday
U0123,search,2023-06-01 21:18:00,P006,0.0,2023-06-01,21,Thursday
U0002,page_view,2023-06-01 17:43:00,P010,859.28,2023-06-01,17,Thursday
U0249,search,2023-06-02 20:04:00,P020,0.0,2023-06-02,20,Friday
U0324,page_view,2023-06-02 04:12:00,P011,672.47,2023-06-02,4,Friday
U0056,page_view,2023-06-06 10:22:00,P029,0.0,2023-06-06,10,Tuesday
U0056,checkout,2023-06-01 16:07:00,P019,306.2,2023-06-01,16,Thursday
U0359,add_to_cart,2023-06-01 18:01:00,P023,0.0,2023-06-01,18,Thursday
U0371,login,2023-06-05 06:51:00,P030,0.0,2023-06-05,6,Monday
U0021,profile_update,2023-06-06 10:42:00,P006,0.0,2023-06-06,10,Tuesday
U0032,page_view,2023-06-06 15:36:00,P010,1143.78,2023-06-06,15,Tuesday
U0239,profile_update,2023-06-05 00:41:00,P027,1308.08,2023-06-05,0,Monday
U0312,login,2023-06-03 07:08:00,P019,0.0,2023-06-03,7,Saturday
U0257,logout,2023-06-06 17:28:00,P003,0.0,2023-06-06,17,Tuesday
U0255,login,2023-06-04 04:29:00,P028,0.0,2023-06-04,4,Sunday
U0343,logout,2023-06-05 22:19:00,P015,0.0,2023-06-05,22,Monday
U0032,profile_update,2023-06-06 11:09:00,P003,0.0,2023-06-06,11,Tuesday
U0078,search,2023-06-05 20:13:00,P018,815.79,2023-06-05,20,Monday
U0163,page_view,2023-06-06 12:58:00,P013,1477.68,2023-06-06,12,Tuesday
U0134,profile_update,2023-06-03 07:13:00,P024,262.58,2023-06-03,7,Saturday
U0224,profile_update,2023-06-05 20:37:00,P012,571.85,2023-06-05,20,Monday
U0192,add_to_cart,2023-06-04 16:11:00,P010,2433.51,2023-06-04,16,Sunday
U0255,search,2023-06-02 01:54:00,P018,1769.62,2023-06-02,1,Friday
U0017,search,2023-06-04 21:00:00,P019,2333.77,2023-06-04,21,Sunday
U0355,profile_update,2023-06-03 21:04:00,P020,0.0,2023-06-03,21,Saturday
U0183,wishlist_add,2023-06-05 17:47:00,P029,0.0,2023-06-05,17,Monday
U0265,profile_update,2023-06-03 20:25:00,P015,0.0,2023-06-03,20,Saturday
U0097,page_view,2023-06-01 20:57:00,P024,2546.29,2023-06-01,20,Thursday
U0391,logout,2023-06-04 19:24:00,P014,2320.57,2023-06-04,19,Sunday
U0109,page_view,2023-06-05 02:24:00,P022,0.0,2023-06-05,2,Monday
U0300,page_view,2023-06-01 19:08:00,P005,2162.53,2023-06-01,19,Thursday
U0018,login,2023-06-03 21:23:00,P020,0.0,2023-06-03,21,Saturday
U0192,login,2023-06-06 16:51:00,P029,0.0,2023-06-06,16,Tuesday
U0159,wishlist_add,2023-06-03 08:35:00,P007,0.0,2023-06-03,8,Saturday
U0307,login,2023-06-06 06:35:00,P002,0.0,2023-06-06,6,Tuesday
U0173,wishlist_add,2023-06-02 20:59:00,P017,289.79,2023-06-02,20,Friday
U0055,checkout,2023-06-02 10:27:00,P022,306.2,2023-06-02,10,Friday
U0301,profile_update,2023-06-05 05:46:00,P010,609.84,2023-06-05,5,Monday
U0058,page_view,2023-06-04 22:52:00,P013,502.91,2023-06-04,22,Sunday
U0104,wishlist_add,2023-06-01 15:36:00,P027,0.0,2023-06-01,15,Thursday
U0038,page_view,2023-06-01 08:22:00,P020,899.79,2023-06-01,8,Thursday
U0181,search,2023-06-04 08:20:00,P022,0.0,2023-06-04,8,Sunday
U0312,logout,2023-06-02 16:51:00,P022,0.0,2023-06-02,16,Friday
U0130,profile_update,2023-06-03 14:10:00,P021,0.0,2023-06-03,14,Saturday
U0135,logout,2023-06-01 22:04:00,P012,0.0,2023-06-01,22,Thursday
U0329,search,2023-06-05 17:57:00,P003,0.0,2023-06-05,17,Monday
U0316,search,2023-06-06 13:24:00,P020,1794.99,2023-06-06,13,Tuesday
U0273,add_to_cart,2023-06-03 05:48:00,P028,639.27,2023-06-03,5,Saturday
U0217,search,2023-06-06 02:29:00,P017,1235.72,2023-06-06,2,Tuesday
U0236,page_view,2023-06-04 21:35:00,P019,0.0,2023-06-04,21,Sunday
U0250,login,2023-06-03 23:25:00,P021,0.0,2023-06-03,23,Saturday
U0093,page_view,2023-06-02 07:29:00,P014,293.63,2023-06-02,7,Friday
U0173,search,2023-06-01 23:33:00,P006,2885.37,2023-06-01,23,Thursday
U0038,wishlist_add,2023-06-03 04:44:00,P015,2630.61,2023-06-03,4,Saturday
U0388,page_view,2023-06-05 07:02:00,P024,1593.51,2023-06-05,7,Monday
U0262,login,2023-06-02 17:54:00,P021,581.96,2023-06-02,17,Friday
U0037,search,2023-06-04 21:20:00,P007,560.69,2023-06-04,21,Sunday
U0158,logout,2023-06-05 05:03:00,P015,574.2,2023-06-05,5,Monday
U0392,logout,2023-06-02 15:49:00,P001,2253.07,2023-06-02,15,Friday
U0117,login,2023-06-04 18:27:00,P013,0.0,2023-06-04,18,Sunday
U0017,add_to_cart,2023-06-05 10:50:00,P015,1364.06,2023-06-05,10,Monday
U0039,profile_update,2023-06-04 06:01:00,P027,0.0,2023-06-04,6,Sunday
U0377,login,2023-06-04 19:29:00,P009,1812.34,2023-06-04,19,Sunday
U0082,profile_update,2023-06-05 20:57:00,P016,1567.14,2023-06-05,20,Monday
U0119,login,2023-06-01 21:21:00,P010,1172.38,2023-06-01,21,Thursday
U0250,checkout,2023-06-02 17:46:00,P001,2327.37,2023-06-02,17,Friday
U0086,checkout,2023-06-05 23:13:00,P026,615.95,2023-06-05,23,Monday
U0139,add_to_cart,2023-06-02 12:08:00,P026,0.0,2023-06-02,12,Friday
U0068,login,2023-06-06 16:23:00,P027,2416.71,2023-06-06,16,Tuesday
U0042,add_to_cart,2023-06-02 17:35:00,P015,0.0,2023-06-02,17,Friday
U0011,add_to_cart,2023-06-05 22:42:00,P030,2176.33,2023-06-05,22,Monday
U0081,login,2023-06-03 23:27:00,P027,1696.72,2023-06-03,23,Saturday
U0201,profile_update,2023-06-04 17:31:00,P005,0.0,2023-06-04,17,Sunday
U0133,logout,2023-06-05 05:45:00,P028,1055.3,2023-06-05,5,Monday
U0016,search,2023-06-04 20:28:00,P007,0.0,2023-06-04,20,Sunday
U0188,search,2023-06-01 10:52:00,P029,0.0,2023-06-01,10,Thursday
U0184,profile_update,2023-06-04 06:48:00,P017,1158.71,2023-06-04,6,Sunday
U0340,login,2023-06-04 05:22:00,P016,1524.34,2023-06-04,5,Sunday
U0353,page_view,2023-06-05 05:31:00,P008,1530.09,2023-06-05,5,Monday
U0229,search,2023-06-02 00:45:00,P010,0.0,2023-06-02,0,Friday
U0046,logout,2023-06-03 20:07:00,P013,1316.68,2023-06-03,20,Saturday
U0320,checkout,2023-06-06 16:41:00,P020,306.2,2023-06-06,16,Tuesday
U0279,wishlist_add,2023-06-04 16:45:00,P009,0.0,2023-06-04,16,Sunday
U0039,logout,2023-06-03 12:13:00,P005,0.0,2023-06-03,12,Saturday
U0119,logout,2023-06-03 16:25:00,P012,0.0,2023-06-03,16,Saturday
U0035,logout,2023-06-02 17:22:00,P029,0.0,2023-06-02,17,Friday
U0242,wishlist_add,2023-06-05 06:13:00,P027,2488.27,2023-06-05,6,Monday
U0153,login,2023-06-04 09:00:00,P002,2788.94,2023-06-04,9,Sunday
U0257,logout,2023-06-02 17:37:00,P029,0.0,2023-06-02,17,Friday
U0304,profile_update,2023-06-05 23:22:00,P016,0.0,2023-06-05,23,Monday
U0012,add_to_cart,2023-06-03 21:23:00,P024,0.0,2023-06-03,21,Saturday
U0144,page_view,2023-06-04 09:45:00,P025,2852.8,2023-06-04,9,Sunday
U0324,page_view,2023-06-03 15:31:00,P007,1502.13,2023-06-03,15,Saturday
U0021,checkout,2023-06-02 07:05:00,P013,1763.65,2023-06-02,7,Friday
U0233,logout,2023-06-05 01:58:00,P024,1497.6,2023-06-05,1,Monday
U0252,add_to_cart,2023-06-03 05:08:00,P019,0.0,2023-06-03,5,Saturday
U0188,search,2023-06-03 16:33:00,P021,0.0,2023-06-03,16,Saturday
U0215,checkout,2023-06-03 15:36:00,P002,2811.96,2023-06-03,15,Saturday
U0340,profile_update,2023-06-06 06:25:00,P010,0.0,2023-06-06,6,Tuesday
U0353,profile_update,2023-06-05 13:30:00,P011,0.0,2023-06-05,13,Monday
U0027,wishlist_add,2023-06-05 05:31:00,P009,966.86,2023-06-05,5,Monday
U0191,checkout,2023-06-04 02:52:00,P010,948.41,2023-06-04,2,Sunday
U0156,checkout,2023-06-01 13:41:00,P002,2560.3,2023-06-01,13,Thursday
U0275,add_to_cart,2023-06-06 11:43:00,P030,1887.99,2023-06-06,11,Tuesday
U0245,wishlist_add,2023-06-05 18:01:00,P009,1662.6,2023-06-05,18,Monday
U0304,add_to_cart,2023-06-06 18:37:00,P016,2878.34,2023-06-06,18,Tuesday
U0294,checkout,2023-06-06 05:26:00,P011,306.2,2023-06-06,5,Tuesday
U0350,checkout,2023-06-03 23:05:00,P015,306.2,2023-06-03,23,Saturday
U0068,login,2023-06-04 04:12:00,P006,615.26,2023-06-04,4,Sunday
