week,avg_users,sales_growth_rate,engagement_trend,engagement_change_value,checkout_trend,revenue_signal,impressions_total,conversion_shift,revenue_prediction,customer_value_delta,shipping_delay_avg,subscription_length_months,spend_signal
2023-05-22,328,-0.0,Stable,981.23,Falling,1359.46,673.7,2869.0,2292.0,626.28,869.5,1090.64,1756.5
2023-05-29,280,0.09,Falling,16.14,Stable,1109.39,144.19,263.0,909.0,784.18,348.4,1418.63,1105.0
2023-06-05,130,0.07,Stable,1656.94,Rising,262.3,139.51,384.0,305.0,505.16,440.98,1090.64,1323.0
2023-06-12,291,0.08,Stable,902.57,Rising,1109.39,1934.38,1424.0,1959.0,5.64,869.5,509.4,2173.0
2023-06-19,200,-0.0,Rising,514.97,Stable,374.81,657.38,1328.0,1483.0,1533.28,434.84,1689.69,1756.5
2023-06-26,135,0.08,Falling,883.78,Rising,1109.39,987.64,293.0,2762.0,610.52,1974.15,857.43,1756.5
2023-07-03,171,-0.02,Rising,1668.53,Stable,1130.31,138.36,878.0,52.0,1055.38,284.6,1610.67,1897.0
2023-07-10,125,0.06,Stable,981.23,Rising,113.74,1538.14,602.0,2887.0,879.38,1295.47,618.21,1549.0
2023-07-17,305,0.0,Rising,1894.56,Stable,1708.93,1029.76,1988.0,718.0,1735.67,869.5,1197.75,2738.0
2023-07-24,346,0.1,Stable,981.23,Stable,1666.25,1018.79,2744.0,1110.0,739.42,462.03,831.08,2726.0
2023-07-31,313,-0.03,Stable,1668.94,Rising,1109.39,709.82,2183.0,1667.0,974.58,1966.14,1090.64,2965.0
2023-08-07,375,0.05,Stable,1263.27,Falling,1526.63,1624.59,654.0,271.0,1526.8,1686.79,983.54,848.0
2023-08-14,307,0.03,Stable,981.23,Stable,359.63,258.31,1056.0,2944.0,879.38,869.5,1090.64,2605.0
2023-08-21,306,0.02,Rising,1619.59,Stable,364.94,222.71,410.0,172.0,225.05,1548.08,1090.64,1539.0
2023-08-28,309,0.1,Stable,1854.6,Stable,745.88,751.07,210.0,205.0,1797.24,817.55,1689.69,2324.0
2023-09-04,393,0.09,Stable,856.43,Rising,1897.92,1582.58,1056.0,-1.0,56.8,1100.85,1090.64,1756.5
2023-09-11,126,0.06,Stable,286.17,Falling,731.18,1176.65,455.0,343.0,1650.74,1829.03,509.4,1152.0
2023-09-18,150,0.01,Stable,1411.85,Stable,1756.39,70.61,1421.0,1009.5,407.8,1334.17,1395.09,2705.0
2023-09-25,271,0.08,Falling,709.34,Stable,1109.39,1599.22,1234.0,1009.5,1139.17,799.39,1090.64,163.0
2023-10-02,298,0.08,Stable,480.84,Falling,1109.39,116.86,2345.0,2408.0,1862.21,135.07,1090.64,1616.0
